phone number,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
399-8859,240.3,96,10.81,15.4,8,4.16,3
377-4518,94.4,96,4.25,8.3,3,2.24,1
341-1594,169.7,138,7.64,6.1,3,1.65,0
418-8770,112.8,125,5.08,13.1,4,3.54,0
332-9118,181.6,100,8.17,9.5,3,2.57,0
386-1418,141.1,116,6.35,18.4,3,4.97,2
393-3535,190.7,128,8.58,7.3,4,1.97,2
328-9006,286.5,125,12.89,11.8,3,3.19,3
402-2482,262.7,87,11.82,4.4,4,1.19,0
408-4865,243.9,95,10.98,8.9,2,2.4,1
396-6247,108.9,113,4.9,15.4,7,4.16,1
396-9462,127.1,88,5.72,8.8,4,2.38,2
396-9279,277.8,104,12.5,11.8,3,3.19,2
363-8715,185.7,125,8.36,15,3,4.05,1
356-1358,115.9,103,5.22,7.8,2,2.11,3
360-7839,199.4,128,8.97,7.7,2,2.08,3
364-8774,250.9,113,11.29,13.4,6,3.62,2
348-5038,141.9,72,6.39,9.9,2,2.67,2
365-4728,162.1,117,7.29,10.6,10,2.86,1
351-9037,72.2,89,3.25,10.5,6,2.84,1
397-9184,266.9,130,12.01,11.3,5,3.05,7
398-4538,138.4,134,6.23,15.1,11,4.08,1
382-6827,182.5,122,8.21,8,3,2.16,2
408-1340,256.2,130,11.53,14.2,6,3.83,0
333-9511,218.3,107,9.82,8,3,2.16,4
358-7379,156.7,95,7.05,9.7,3,2.62,0
331-2144,177.7,144,8,8.1,9,2.19,1
345-7014,247.1,105,11.12,13.2,4,3.56,1
395-1898,224.6,115,10.11,7.1,3,1.92,2
373-8920,157.4,94,7.08,5.3,3,1.43,2
415-1203,243.5,55,10.96,16.2,3,4.37,2
395-2579,161.3,117,7.26,11.5,4,3.11,1
405-7850,129.2,117,5.81,12.5,8,3.38,2
394-7710,197.4,62,8.88,8.6,3,2.32,2
413-1061,240,107,10.8,14.5,3,3.92,1
343-5347,221.6,113,9.97,5.9,6,1.59,0
376-4861,271.8,94,12.23,5.5,4,1.49,1
417-2265,91.2,86,4.1,10.9,5,2.94,2
419-7415,139.4,108,6.27,9.7,5,2.62,1
333-2906,111.7,103,5.03,11.2,7,3.02,0
360-7477,230.4,109,10.37,8,3,2.16,0
342-5243,203.3,108,9.15,7.4,7,2,0
368-3117,110.7,78,4.98,8.7,4,2.35,1
352-5000,203.8,90,9.17,11.4,5,3.08,0
383-2901,227.8,60,10.25,9.8,3,2.65,0
369-7049,197.4,60,8.88,8.3,2,2.24,3
362-3660,227.5,114,10.24,8,5,2.16,0
357-3577,243.6,107,10.96,5.5,5,1.49,0
394-3312,323.5,88,14.56,8.1,3,2.19,2
395-8330,194.3,83,8.74,12,1,3.24,1
373-8895,185.4,104,8.34,4.9,3,1.32,2
386-4581,181.5,86,8.17,11.4,7,3.08,1
354-8191,236.1,119,10.62,8.1,1,2.19,1
359-7562,235.4,117,10.59,9.7,4,2.62,1
336-9901,201.6,135,9.07,9.4,7,2.54,2
361-8113,198.8,91,8.95,12.9,3,3.48,2
347-9769,184.5,94,8.3,11.1,9,3,1
352-9130,192.4,98,8.66,12.3,7,3.32,2
378-4557,164.7,85,7.41,12.7,6,3.43,1
360-8919,217.2,106,9.77,5.5,6,1.49,3
381-2498,84.8,118,3.82,12,4,3.24,2
412-2947,85.8,80,3.86,10.3,3,2.78,4
363-3571,310.5,83,13.97,10.3,2,2.78,3
396-7091,256.3,107,11.53,10.2,5,2.75,3
398-3004,208,120,9.36,10.1,9,2.73,0
400-4020,257.2,93,11.57,9.9,5,2.67,1
356-3448,281.1,112,12.65,12.9,3,3.48,1
332-6633,290,96,13.05,10.8,6,2.92,1
359-7648,211,87,9.49,9.9,1,2.67,1
412-9190,196.2,122,8.83,10.2,6,2.75,1
368-9007,221.6,82,9.97,11.2,7,3.02,1
343-9645,221,93,9.95,7,3,1.89,2
384-7873,144.4,92,6.5,10.9,4,2.94,1
396-2187,211.6,116,9.52,9.8,1,2.65,2
383-5109,309.2,123,13.91,12.8,3,3.46,2
377-7843,201.7,89,9.08,12.1,2,3.27,0
382-7999,256.7,96,11.55,6.5,4,1.76,0
328-1222,220.1,100,9.9,8.2,7,2.21,4
369-8871,187.4,102,8.43,5.5,4,1.49,2
335-9726,134.1,118,6.03,9.9,3,2.67,3
357-3709,301.7,136,13.58,6.5,9,1.76,1
422-9964,242.9,96,10.93,11.8,3,3.19,1
366-9211,266.7,105,12,11,3,2.97,2
384-9033,225.9,112,10.17,14.2,2,3.83,1
404-7518,214.5,106,9.65,8.6,6,2.32,1
353-1954,136.2,119,6.13,9.4,6,2.54,3
391-7166,182.4,87,8.21,9.7,8,2.62,4
370-9000,318.3,115,14.32,11.8,6,3.19,1
332-3642,305.5,101,13.75,11.3,2,3.05,1
412-3898,247.5,102,11.14,9.8,6,2.65,2
366-5640,196.2,92,8.83,9.8,4,2.65,2
356-2302,150.3,64,6.76,15.3,3,4.13,3
345-9018,141.1,92,6.35,11.2,5,3.02,1
365-6205,260.6,96,11.73,11.6,4,3.13,0
337-1151,214,96,9.63,10.9,1,2.94,1
374-4664,120.3,131,5.41,7.8,5,2.11,1
396-9656,315,106,14.18,8.6,5,2.32,1
367-6005,188.6,105,8.49,11.4,3,3.08,2
364-2166,99,117,4.46,12.1,4,3.27,1
414-4741,254.4,85,11.45,6.8,6,1.84,1
371-8452,250.3,101,11.26,8.7,4,2.35,1
392-6239,289.2,135,13.01,7.6,3,2.05,1
410-5250,279.2,91,12.56,8.8,3,2.38,2
336-1574,243.3,92,10.95,10.9,7,2.94,0
406-8324,218.2,90,9.82,6.7,3,1.81,1
411-7110,107.3,88,4.83,8.5,3,2.3,1
341-9907,146.4,73,6.59,5.1,5,1.38,1
400-8952,230.6,100,10.38,8,4,2.16,0
333-9266,255.2,114,11.48,6.8,2,1.84,1
419-4894,181.5,91,8.17,10,8,2.7,0
394-3048,154.5,102,6.95,9.6,7,2.59,1
352-6265,218.2,127,9.82,6.1,6,1.65,1
357-3187,221.6,130,9.97,11.1,5,3,0
375-9930,193.9,70,8.73,5.6,4,1.51,0
352-6282,159.8,76,7.19,12.6,4,3.4,3
396-2945,156.2,113,7.03,10.2,2,2.75,1
412-3527,130.3,64,5.86,12.4,2,3.35,3
328-4231,200.5,62,9.02,12.8,3,3.46,2
413-9055,163.3,93,7.35,13.9,11,3.75,0
363-8755,162.2,84,7.3,11.1,4,3,3
388-8891,252.1,92,11.34,10.4,3,2.81,3
360-1776,142.7,105,6.42,10.1,5,2.73,0
411-3578,188.3,98,8.47,11,6,2.97,1
350-1532,234.3,89,10.54,2,7,0.54,1
359-2197,172.1,124,7.74,9.4,10,2.54,3
407-9290,174.1,94,7.83,8,6,2.16,1
358-6672,272.9,107,12.28,13.5,2,3.65,1
393-4621,208.2,73,9.37,13,3,3.51,5
336-7357,234.7,92,10.56,9,4,2.43,1
351-1466,136.7,62,6.15,12.5,4,3.38,2
394-6668,149.5,80,6.73,6.3,1,1.7,5
355-1735,171.4,72,7.71,7,2,1.89,2
416-7679,215.4,108,9.69,10.4,2,2.81,1
408-6676,202.7,90,9.12,7.4,3,2,1
417-6683,314.1,144,14.13,12.7,2,3.43,4
331-6270,214.4,122,9.65,5.3,5,1.43,1
404-9754,192.9,95,8.68,15.7,4,4.24,0
364-9425,223.7,85,10.07,9.4,3,2.54,3
362-2787,180.1,111,8.1,8.2,5,2.21,2
405-9233,156.6,89,7.05,12.1,1,3.27,0
416-1845,138.6,106,6.24,10.2,4,2.75,0
385-9657,212.5,128,9.56,12.1,2,3.27,1
420-5652,226.5,82,10.19,12,7,3.24,2
415-1141,229.9,125,10.35,12.4,4,3.35,2
334-5634,179.4,107,8.07,12.6,3,3.4,1
403-4200,183.9,100,8.28,7.6,3,2.05,2
357-7893,214,110,9.63,4.5,3,1.22,0
369-2899,98.2,70,4.42,10.6,7,2.86,0
381-1026,215.5,130,9.7,11.7,1,3.16,1
388-8722,185.3,120,8.34,7.6,3,2.05,1
418-3135,165.8,63,7.46,13.1,6,3.54,3
380-3974,171.7,88,7.73,9.7,3,2.62,2
338-7232,159,54,7.15,10.9,9,2.94,0
334-5223,192.4,112,8.66,10.1,3,2.73,3
337-6851,258.2,105,11.62,12.9,5,3.48,3
344-5973,189.9,136,8.55,13,6,3.51,1
335-2261,245.2,100,11.03,17.8,3,4.81,4
343-1458,196.9,103,8.86,11.1,7,3,1
415-4875,210.5,82,9.47,6.6,2,1.78,3
381-2726,188.5,121,8.48,6.2,6,1.67,3
395-3852,95,98,4.27,11.9,4,3.21,3
358-7914,178.7,105,8.04,8.3,4,2.24,0
332-6958,170.9,67,7.69,12.7,7,3.43,0
355-1019,192,123,8.64,9.3,7,2.51,3
382-9447,160.7,105,7.23,6.1,2,1.65,1
386-8536,163.2,99,7.34,10.8,2,2.92,2
363-3818,183.4,96,8.25,13.7,3,3.7,3
360-6416,145.2,74,6.53,13.8,4,3.73,0
332-8764,177.4,112,7.98,9.2,5,2.48,3
398-4814,192.6,113,8.67,9.5,4,2.57,3
410-5963,203.9,117,9.18,7.5,11,2.03,1
399-6642,149.4,93,6.72,11.1,4,3,1
390-9986,217,83,9.76,5.2,1,1.4,2
391-1793,199.3,104,8.97,11.1,4,3,1
352-5542,172.9,92,7.78,10.6,7,2.86,1
386-8118,189.5,75,8.53,13.4,3,3.62,1
394-9825,161.3,91,7.26,12.6,3,3.4,2
382-4952,180.9,145,8.14,13.4,3,3.62,2
387-2698,256.1,114,11.52,14.1,6,3.81,1
417-1360,227.6,97,10.24,10.8,3,2.92,1
363-8424,154.2,110,6.94,11.8,1,3.19,1
408-8910,207.2,121,9.32,11.4,9,3.08,5
399-3840,194.8,61,8.77,13.2,10,3.56,2
387-4504,328.5,112,14.78,14.6,2,3.94,1
328-2647,212.9,71,9.58,8.7,3,2.35,3
369-7903,133.4,122,6,8,6,2.16,3
399-6852,158.6,108,7.14,6.7,8,1.81,1
344-2260,192.5,129,8.66,10.6,2,2.86,1
349-4070,269.9,85,12.15,9.7,1,2.62,2
394-6505,151.1,103,6.8,9.9,4,2.67,2
419-3612,181.1,91,8.15,11.2,8,3.02,1
356-1952,162.9,84,7.33,6.4,5,1.73,3
416-7866,212.8,114,9.58,10,10,2.7,0
398-1759,101.8,94,4.58,13.6,4,3.67,4
338-9950,248.9,119,11.2,11.1,5,3,1
412-7278,220.6,95,9.93,12.2,4,3.29,3
347-1263,244.1,127,10.98,9.6,9,2.59,3
386-5684,212.9,67,9.58,7,2,1.89,2
334-4354,244.4,102,11,7.5,4,2.03,1
398-5970,219,98,9.86,8.2,6,2.21,1
330-3429,214.3,112,9.64,9.7,6,2.62,2
418-4637,102,146,4.59,13,4,3.51,0
393-7322,120,126,5.4,7.1,2,1.92,1
353-5557,142.1,103,6.39,13.5,3,3.65,1
411-5334,196.9,116,8.86,13.3,7,3.59,3
398-8588,228.7,96,10.29,11.5,3,3.11,2
374-7285,279.8,105,12.59,12.1,9,3.27,0
357-7875,225.1,105,10.13,7.3,5,1.97,0
393-9677,117.6,102,5.29,10.3,3,2.78,0
345-9598,220.4,116,9.92,10.3,4,2.78,1
353-3203,253.1,109,11.39,10.1,5,2.73,2
330-7486,232.4,82,10.46,9.2,3,2.48,2
397-6425,148.1,83,6.66,12.2,6,3.29,1
338-1815,219.6,122,9.88,15.1,5,4.08,0
406-5023,149.9,91,6.75,9.9,3,2.67,4
368-2458,95.3,59,4.29,12.3,4,3.32,1
387-8201,162.4,113,7.31,13.1,5,3.54,1
346-4360,246.7,81,11.1,4.2,9,1.13,2
412-8811,153.6,88,6.91,6.5,6,1.76,3
413-3990,233.5,121,10.51,11.3,4,3.05,1
345-2448,195.5,121,8.8,6.6,5,1.78,2
394-4512,199.1,139,8.96,8.8,1,2.38,2
412-8769,277.6,123,12.49,13.1,3,3.54,0
390-1552,89.7,81,4.04,4.3,4,1.16,1
389-2477,237.4,89,10.68,13.1,9,3.54,2
389-4695,236,68,10.62,11.9,5,3.21,0
406-8037,287.6,95,12.94,10.1,7,2.73,1
382-9138,222.8,75,10.03,9.8,4,2.65,0
414-7942,155.6,104,7,8.3,6,2.24,3
348-7071,214.4,91,9.65,8.8,5,2.38,2
404-2942,215.6,103,9.7,11.1,7,3,1
348-3581,228.3,80,10.27,12.6,2,3.4,1
327-6764,214.7,114,9.66,11.1,8,3,4
405-2831,157.6,99,7.09,16.4,3,4.43,2
416-4351,224.1,108,10.08,11.1,7,3,1
419-3196,140.1,90,6.3,10.6,5,2.86,2
411-6211,149.2,82,6.71,7.5,2,2.03,2
391-8369,205.7,101,9.26,10.8,4,2.92,2
416-4464,176.4,107,7.94,12.9,3,3.48,0
347-1814,175.8,82,7.91,11,6,2.97,0
386-7337,153.6,104,6.91,13.3,4,3.59,0
375-8505,118,71,5.31,16.1,4,4.35,0
407-5056,189.3,87,8.52,9.8,4,2.65,2
367-8924,184.4,95,8.3,9.8,4,2.65,1
396-7687,132.8,99,5.98,13.3,7,3.59,0
394-4548,206,106,9.27,6.9,6,1.86,0
382-6438,179.6,99,8.08,12.7,3,3.43,2
366-2622,157,74,7.07,10.9,4,2.94,2
416-7591,154,86,6.93,9.6,7,2.59,0
329-2388,169.3,87,7.62,9.5,4,2.57,0
381-5273,160,112,7.2,12.6,1,3.4,3
421-6694,188.2,93,8.47,10.2,6,2.75,2
342-1702,329.3,66,14.82,14.4,1,3.89,0
416-6594,178.3,91,8.02,13.3,5,3.59,3
367-1024,148.6,87,6.69,14.2,4,3.83,1
386-7118,184.9,120,8.32,11.9,7,3.21,4
329-6144,229.8,82,10.34,13.7,3,3.7,1
332-1502,146.5,111,6.59,12.7,2,3.43,1
342-8320,271.9,102,12.24,16.4,3,4.43,0
411-5748,192.5,69,8.66,8.1,3,2.19,1
381-9367,279.5,96,12.58,10.7,3,2.89,3
400-1280,257.9,73,11.61,3.8,10,1.03,1
360-5794,262.9,105,11.83,9.7,6,2.62,1
373-3538,216.6,112,9.75,11.2,5,3.02,3
394-9942,221.7,96,9.98,10.2,6,2.75,2
380-3329,293.5,135,13.21,7.4,4,2,2
334-7618,168.6,112,7.59,10.9,10,2.94,1
327-9289,253.4,88,11.4,11,4,2.97,1
351-2589,185.7,113,8.36,6,3,1.62,3
368-6892,197.6,91,8.89,10.3,8,2.78,2
337-9303,256.7,74,11.55,13,1,3.51,1
377-5258,150.4,120,6.77,11.2,2,3.02,0
348-5767,180.6,103,8.13,11.3,7,3.05,1
373-3549,163.4,93,7.35,8.9,3,2.4,0
422-8344,239.7,119,10.79,10.9,1,2.94,3
384-2908,244.4,81,11,13.2,5,3.56,4
347-6393,248.1,108,11.16,6.6,3,1.78,2
419-2767,189.1,103,8.51,11.3,5,3.05,3
375-1746,165.9,78,7.47,12.7,2,3.43,1
362-7870,293.7,72,13.22,10.8,5,2.92,1
410-3725,155.7,86,7.01,10.9,4,2.94,0
329-2045,227.7,91,10.25,10,7,2.7,1
341-6743,146.7,88,6.6,11.6,5,3.13,0
368-5758,273.7,110,12.32,9.6,6,2.59,2
346-8362,146.7,89,6.6,11.1,3,3,1
345-9690,145.7,120,6.56,9.5,4,2.57,2
339-9798,285.3,104,12.84,12.5,8,3.38,2
373-2091,212.2,98,9.55,11.3,11,3.05,3
367-3439,229.5,99,10.33,10.2,2,2.75,2
420-9973,279.8,105,12.59,13,2,3.51,1
393-5897,196,57,8.82,12.1,5,3.27,0
384-7216,214.2,104,9.64,6.9,4,1.86,1
384-4595,211,118,9.49,7.4,10,2,1
347-5063,178.2,92,8.02,13,3,3.51,2
345-8433,138.3,85,6.22,11.2,2,3.02,2
339-7602,238.4,109,10.73,6.7,8,1.81,1
332-1109,109.3,99,4.92,10.3,3,2.78,1
343-3296,238.5,86,10.73,10.6,2,2.86,0
366-2536,254.1,72,11.43,10.9,4,2.94,0
355-2293,207.4,124,9.33,6.8,1,1.84,1
350-9318,208.4,97,9.38,11.2,4,3.02,0
395-2626,150.7,92,6.78,10.3,5,2.78,1
402-7372,174.9,82,7.87,8.8,5,2.38,3
337-9710,229.4,104,10.32,7.8,4,2.11,2
363-4967,282.5,105,12.71,13.1,1,3.54,2
400-5389,137.7,74,6.2,7.3,5,1.97,0
416-9162,99.3,119,4.47,11.6,3,3.13,2
414-6541,266.3,105,11.98,2.9,7,0.78,2
392-6647,192.4,117,8.66,15,5,4.05,1
343-2465,243,93,10.93,13,4,3.51,0
338-9171,176,98,7.92,14,6,3.78,3
405-4606,228.2,90,10.27,11.8,5,3.19,1
386-9711,191.4,87,8.61,13,3,3.51,1
370-3032,237.6,78,10.69,7.3,4,1.97,2
331-8462,162.2,127,7.3,9.7,4,2.62,3
414-4037,189,104,8.5,10.9,1,2.94,1
415-2865,137.4,74,6.18,5.4,9,1.46,1
362-2353,173.6,112,7.81,5.3,6,1.43,2
329-5114,189.3,104,8.52,9.4,2,2.54,2
351-1389,243.6,104,10.96,9,3,2.43,2
375-3668,208.3,101,9.37,6.1,10,1.65,1
375-5414,142.3,116,6.4,11.5,4,3.11,0
360-7079,192,95,8.64,3.1,1,0.84,2
344-9302,100.9,131,4.54,3.3,5,0.89,0
418-1775,245.3,59,11.04,8.5,4,2.3,2
401-2468,213.2,51,9.59,8.4,6,2.27,1
346-4984,193.1,94,8.69,14,3,3.78,2
351-2928,151.1,92,6.8,10.4,3,2.81,1
358-3691,173.9,126,7.83,6.8,3,1.84,2
364-9059,233.5,112,10.51,11.2,8,3.02,3
356-7208,152.5,104,6.86,10.6,4,2.86,1
333-5551,198,126,8.91,9.8,5,2.65,0
362-6528,224.7,104,10.11,9.6,3,2.59,1
394-2560,157.9,106,7.11,6.8,3,1.84,3
418-5708,189.8,99,8.54,11.1,3,3,4
421-2245,177.3,130,7.98,4.8,12,1.3,1
347-6994,150.8,122,6.79,13,7,3.51,1
389-6082,181.1,84,8.15,11.8,3,3.19,2
415-3689,179.6,126,8.08,11.4,5,3.08,2
396-1106,225.6,86,10.15,9.9,4,2.67,3
379-4372,200.8,87,9.04,8.6,7,2.32,3
336-3738,169.7,70,7.64,10.2,6,2.75,2
380-2600,269.1,94,12.11,12.1,9,3.27,0
345-4473,165.8,84,7.46,11,4,2.97,6
380-9990,215.6,84,9.7,15.5,5,4.19,2
411-1045,253.2,88,11.39,12.1,5,3.27,1
413-5306,152.7,92,6.87,10.5,2,2.84,1
417-6906,217.4,90,9.78,10.2,6,2.75,2
331-4807,154.2,66,6.94,7.6,5,2.05,2
376-5375,249.4,86,11.22,17.6,5,4.75,2
361-9839,119.4,111,5.37,7.8,3,2.11,2
348-8679,172.7,107,7.77,7.1,9,1.92,3
403-6565,261.6,105,11.77,12.4,5,3.35,0
346-5287,255.7,125,11.51,11,5,2.97,1
413-6769,159.4,83,7.17,10,1,2.7,2
370-5042,232.8,95,10.48,9.7,3,2.62,1
397-9486,220.8,121,9.94,14.4,6,3.89,2
378-9506,206.6,96,9.3,9.3,3,2.51,2
399-6259,160.7,106,7.23,13.7,7,3.7,0
335-5806,226.6,101,10.2,4.9,3,1.32,1
401-6392,212.4,105,9.56,11.4,3,3.08,2
379-9859,196.1,96,8.82,8.6,4,2.32,2
415-4051,232.6,104,10.47,10.9,3,2.94,1
368-5612,128.3,91,5.77,8.8,5,2.38,2
374-5301,188.5,105,8.48,11.3,6,3.05,1
406-5710,194.1,100,8.73,12.8,3,3.46,0
354-7077,268.2,130,12.07,13.3,3,3.59,5
343-3340,159.8,72,7.19,14.4,4,3.89,3
377-8267,291.2,123,13.1,7.2,4,1.94,1
382-2453,94,98,4.23,6.4,6,1.73,1
333-7449,203.1,82,9.14,10.6,6,2.86,1
366-4287,259,58,11.66,8.9,8,2.4,1
415-2285,257.6,64,11.59,6.7,3,1.81,1
381-1328,131.4,108,5.91,11.3,4,3.05,0
344-4022,238.2,117,10.72,2.6,6,0.7,1
415-6601,221.3,92,9.96,13.5,3,3.65,1
363-7802,192.7,97,8.67,10.1,7,2.73,3
408-4870,228.4,117,10.28,13,5,3.51,1
378-9478,127.1,78,5.72,9.4,5,2.54,4
401-4778,151.6,75,6.82,14.6,1,3.94,1
370-9563,173.3,149,7.8,9,9,2.43,1
394-6382,202,105,9.09,8.7,3,2.35,3
333-5295,223.2,114,10.04,8.7,4,2.35,0
370-2451,118.5,111,5.33,10,4,2.7,1
329-8115,215.5,82,9.7,11.3,7,3.05,0
340-3409,162.6,96,7.32,8.2,13,2.21,0
397-5911,303.5,94,13.66,12.2,4,3.29,3
415-6127,313.4,108,14.1,8.7,10,2.35,1
392-6073,268.2,98,12.07,11.7,2,3.16,2
419-6564,139.5,101,6.28,7.6,3,2.05,2
340-8245,180.6,75,8.13,9.9,2,2.67,4
376-4540,245.3,140,11.04,7.7,7,2.08,0
361-5936,175.8,88,7.91,5.9,2,1.59,3
421-9846,269.6,78,12.13,13.3,4,3.59,0
356-1582,255.7,76,11.51,8.4,4,2.27,1
375-4900,237.3,145,10.68,9.5,5,2.57,1
420-8953,126.6,117,5.7,13.4,6,3.62,2
376-4035,286.5,80,12.89,8.3,4,2.24,0
344-5206,245.9,67,11.07,12.6,4,3.4,3
417-4266,207,133,9.32,12.6,5,3.4,2
351-6574,226.7,96,10.2,11.8,3,3.19,1
372-8925,270.6,105,12.18,10.4,7,2.81,0
340-5678,199.5,97,8.98,6.6,4,1.78,3
361-6814,221.2,166,9.95,8.8,4,2.38,0
336-7155,184,90,8.28,10.8,7,2.92,1
375-9180,182.3,75,8.2,11.9,1,3.21,0
357-7064,159.6,139,7.18,10.5,2,2.84,2
347-5354,226.7,79,10.2,9.1,3,2.46,1
362-9391,220.6,115,9.93,7.4,4,2,0
386-8984,113.3,117,5.1,6.6,4,1.78,0
384-6372,198.4,103,8.93,10.2,6,2.75,1
358-1329,212.6,80,9.57,12.9,4,3.48,2
400-7987,148.7,115,6.69,8.8,5,2.38,1
327-8732,192.7,91,8.67,8,4,2.16,0
389-6955,223.5,65,10.06,8.8,3,2.38,0
396-1800,226,94,10.17,17,6,4.59,2
349-4979,233.1,96,10.49,11.5,6,3.11,2
361-5864,188.2,67,8.47,10.1,4,2.73,2
418-4658,127.7,112,5.75,11,9,2.97,0
330-6208,326,91,14.67,11.1,3,3,3
416-6628,264.4,94,11.9,6,5,1.62,1
349-5617,201.7,102,9.08,10.9,3,2.94,3
397-8051,178.4,61,8.03,12.1,3,3.27,1
413-6346,206.1,82,9.27,8.9,4,2.4,0
395-9270,215.8,90,9.71,13.5,2,3.65,3
401-7575,304.2,109,13.69,10.8,2,2.92,1
332-5964,310.1,110,13.95,9.2,3,2.48,0
348-3338,119.1,81,5.36,11.5,4,3.11,3
387-5411,207.2,97,9.32,11.6,4,3.13,3
378-7872,103.8,118,4.67,7,4,1.89,2
389-6037,213.1,105,9.59,12.9,4,3.48,1
349-3732,128.1,71,5.76,6.3,3,1.7,3
347-9738,190.8,92,8.59,11.5,7,3.11,0
380-6074,180.8,123,8.14,8.7,6,2.35,3
338-4307,166.3,119,7.48,11.7,4,3.16,1
339-3636,367.7,89,16.55,15.5,2,4.19,1
328-9315,269.7,69,12.14,10.6,6,2.86,5
402-3634,201.7,65,9.08,8.2,1,2.21,1
360-1406,248.5,104,11.18,14,2,3.78,0
363-9969,247.2,87,11.12,8.4,6,2.27,1
350-4367,192.3,99,8.65,8.9,2,2.4,1
348-1592,195.6,102,8.8,10.6,2,2.86,1
368-9751,147.5,132,6.64,7.2,2,1.94,1
380-6413,181.1,76,8.15,10.5,4,2.84,1
367-9259,231.5,75,10.42,8.2,4,2.21,2
404-8765,190.7,105,8.58,10,4,2.7,3
403-9468,200,85,9,11.6,5,3.13,1
335-3133,149.8,64,6.74,8.3,6,2.24,4
366-4426,235,102,10.58,11.2,3,3.02,2
354-4752,98.6,109,4.44,8.9,4,2.4,1
406-4768,196.3,97,8.83,12.6,7,3.4,0
367-9257,276.9,123,12.46,7.1,7,1.92,0
342-8348,213.3,106,9.6,10.2,2,2.75,2
341-3270,105.2,113,4.73,8.2,8,2.21,1
416-7452,206.5,88,9.29,0,0,0,0
356-8982,196.9,119,8.86,4.6,4,1.24,2
348-6659,200.4,89,9.02,11.3,3,3.05,2
345-2401,238.2,88,10.72,9.6,5,2.59,0
422-5264,56.6,99,2.55,8.7,4,2.35,0
422-1799,207.1,113,9.32,3.4,4,0.92,2
404-2877,159.6,81,7.18,12.8,4,3.46,0
417-7913,210,74,9.45,11.7,4,3.16,1
419-3427,269,105,12.11,12.5,8,3.38,2
414-5422,110.1,123,4.95,14.6,8,3.94,0
386-3766,239.9,102,10.8,13.1,4,3.54,1
386-9724,162.4,107,7.31,9.4,3,2.54,2
416-7393,181.5,94,8.17,10.5,3,2.84,3
395-1380,185.3,128,8.34,0,0,0,3
408-4911,215.5,77,9.7,13.3,3,3.59,0
387-4064,153.9,76,6.93,13.7,4,3.7,0
380-5667,289.5,69,13.03,11.5,5,3.11,1
402-8930,203.5,110,9.16,14,5,3.78,1
336-6533,165.9,90,7.47,6.6,5,1.78,3
359-9992,170.9,99,7.69,7.6,7,2.05,1
404-2871,199.7,97,8.99,9.9,4,2.67,4
420-6121,271.9,74,12.24,18.2,3,4.91,1
369-4012,213.9,102,9.63,10.1,3,2.73,2
357-2294,224.7,92,10.11,10.2,2,2.75,0
348-9938,227.3,88,10.23,8.4,5,2.27,0
394-3023,227.5,118,10.24,10.4,4,2.81,2
396-6462,140.3,101,6.31,12.6,7,3.4,3
384-5335,187.3,104,8.43,11.8,1,3.19,2
357-2748,230.7,67,10.38,7.6,5,2.05,1
386-7976,54,134,2.43,10.9,8,2.94,0
403-9199,199.5,144,8.98,9.6,2,2.59,2
361-1900,212.8,94,9.58,6.4,3,1.73,0
405-3848,240.8,88,10.84,13.9,2,3.75,0
397-3943,228.2,91,10.27,12.2,5,3.29,0
347-3821,205.3,114,9.24,10.8,6,2.92,2
400-8069,238.6,103,10.74,11,7,2.97,1
346-5349,163.7,83,7.37,8.3,8,2.24,0
345-5089,221.9,117,9.99,11.2,5,3.02,3
410-4613,298.2,82,13.42,14.3,2,3.86,4
356-4706,232,72,10.44,10.6,3,2.86,2
333-9133,179.4,86,8.07,11.5,3,3.11,1
392-2459,116.3,113,5.23,11.2,5,3.02,1
401-3685,174.1,91,7.83,8.4,4,2.27,0
332-5582,171.7,125,7.73,13,7,3.51,2
376-2550,149.7,56,6.74,15.5,4,4.19,1
375-2522,181.7,121,8.18,9.2,4,2.48,2
420-1782,214.6,107,9.66,10.5,2,2.84,1
384-8890,180.4,133,8.12,8.7,2,2.35,2
371-4788,104,133,4.68,10.9,6,2.94,0
360-5636,175.9,94,7.92,9.3,5,2.51,1
352-9836,304.3,110,13.69,14.8,9,4,0
342-2013,190.5,73,8.57,6.4,7,1.73,0
335-8427,175.3,123,7.89,11.9,5,3.21,2
409-6753,146.7,96,6.6,9.3,4,2.51,2
349-1756,262.2,79,11.8,11,5,2.97,0
352-9947,184.7,79,8.31,15.2,6,4.1,2
336-1043,73.2,81,3.29,3.7,2,1,0
416-7013,157.4,113,7.08,6.4,3,1.73,1
345-4551,187.5,91,8.44,8.6,6,2.32,2
405-9864,253.5,110,11.41,13.1,6,3.54,1
350-4297,229,73,10.31,9.5,3,2.57,2
400-4244,233,95,10.49,10,5,2.7,2
417-2608,199.7,121,8.99,15.6,3,4.21,0
372-2990,196.5,85,8.84,10.2,4,2.75,1
330-3008,168.4,137,7.58,12.1,3,3.27,2
384-8629,176.3,134,7.93,11.3,4,3.05,0
404-9504,193.9,101,8.73,10.3,6,2.78,1
405-8753,162.6,131,7.32,13.3,2,3.59,1
394-4260,192,76,8.64,11,5,2.97,2
380-9063,198.9,110,8.95,14.6,4,3.94,1
395-4509,176.1,115,7.92,7,6,1.89,0
401-6671,227.4,94,10.23,12.1,4,3.27,1
